10-digit PSGC,Name,Geographic Level
1380500012,Harapin Ang Bukas,Bgy
1380500013,Highway Hills,Bgy
1380500014,Hulo,Bgy
1380500015,Mabini-J. Rizal,Bgy
1380500016,Malamig,Bgy
1380500017,Mauway,Bgy
1380500018,Namayan,Bgy
1380500019,New Zañiga,Bgy
1380500020,Old Zañiga,Bgy
1380500021,Pag-asa,Bgy
1380500022,Plainview,Bgy
1380500023,Pleasant Hills,Bgy
1380500024,Poblacion,Bgy
1380500025,San Jose,Bgy
1380500026,Vergara,Bgy
1380500027,Wack-wack Greenhills,Bgy
1380600000,City of Manila,City
1380601000,Tondo I/II,SubMun
1380601001,Barangay 1,Bgy
1380601002,Barangay 2,Bgy
1380601003,Barangay 3,Bgy
1380601004,Barangay 4,Bgy
1380601005,Barangay 5,Bgy
1380601006,Barangay 6,Bgy
1380601007,Barangay 7,Bgy
1380601008,Barangay 8,Bgy
1380601009,Barangay 9,Bgy
1380601010,Barangay 10,Bgy
1380601011,Barangay 11,Bgy
1380601012,Barangay 12,Bgy
1380601013,Barangay 13,Bgy
1380601014,Barangay 14,Bgy
1380601015,Barangay 15,Bgy
1380601016,Barangay 16,Bgy
1380601017,Barangay 17,Bgy
1380601018,Barangay 18,Bgy
1380601019,Barangay 19,Bgy
1380601020,Barangay 20,Bgy
1380601025,Barangay 25,Bgy
1380601026,Barangay 26,Bgy
1380601028,Barangay 28,Bgy
1380601029,Barangay 29,Bgy
1380601030,Barangay 30,Bgy
1380601031,Barangay 31,Bgy
1380601032,Barangay 32,Bgy
1380601033,Barangay 33,Bgy
1380601034,Barangay 34,Bgy
1380601035,Barangay 35,Bgy
1380601036,Barangay 36,Bgy
1380601037,Barangay 37,Bgy
1380601038,Barangay 38,Bgy
1380601039,Barangay 39,Bgy
1380601041,Barangay 41,Bgy
1380601042,Barangay 42,Bgy
1380601043,Barangay 43,Bgy
1380601044,Barangay 44,Bgy
1380601045,Barangay 45,Bgy
1380601046,Barangay 46,Bgy
1380601047,Barangay 47,Bgy
1380601048,Barangay 48,Bgy
1380601049,Barangay 49,Bgy
1380601050,Barangay 50,Bgy
1380601051,Barangay 51,Bgy
1380601052,Barangay 52,Bgy
