psgc,barangay,city
"PH137502020","Tonsuya","Unknown"
"PH137502021","Tugatog","Unknown"
"PH137503001","Sipac-Almacen","Unknown"
"PH137503002","Bagumbayan North","Unknown"
"PH137503003","Bagumbayan South","Unknown"
"PH137503004","Bangculasi","Unknown"
"PH137503005","Daanghari","Unknown"
"PH137503006","Navotas East","Unknown"
"PH137503007","Navotas West","Unknown"
"PH137503008","North Bay Blvd., North","Unknown"
"PH137503009","North Bay Blvd., South","Unknown"
"PH137503010","San Jose (Pob.)","Unknown"
"PH137503011","San Rafael Village","Unknown"
"PH137503012","San Roque","Unknown"
"PH137503013","Tangos","Unknown"
"PH137503014","Tanza","Unknown"
"PH137504001","Arkong Bato","Unknown"
"PH137504002","Bagbaguin","Unknown"
"PH137504003","Balangkas","Unknown"
"PH137504004","Parada","Unknown"
"PH137504005","Bignay","Unknown"
"PH137504006","Bisig","Unknown"
"PH137504007","Canumay West (Canumay)","Unknown"
"PH137504008","Karuhatan","Unknown"
"PH137504009","Coloong","Unknown"
"PH137504010","Dalandanan","Unknown"
"PH137504011","Gen. T. De Leon","Unknown"
"PH137504012","Isla","Unknown"
"PH137504013","Lawang Bato","Unknown"
"PH137504014","Lingunan","Unknown"
"PH137504015","Mabolo","Unknown"
"PH137504016","Malanday","Unknown"
"PH137504017","Malinta","Unknown"
"PH137504018","Mapulang Lupa","Unknown"
"PH137504019","Marulas","Unknown"
"PH137504020","Maysan","Unknown"
"PH137504021","Palasan","Unknown"
"PH137504022","Pariancillo Villa","Unknown"
"PH137504023","Paso De Blas","Unknown"
"PH137504024","Pasolo","Unknown"
"PH137504025","Poblacion","Unknown"
"PH137504026","Pulo","Unknown"
"PH137504027","Punturin","Unknown"
"PH137504028","Rincon","Unknown"
"PH137504029","Tagalag","Unknown"
"PH137504030","Ugong","Unknown"
"PH137504031","Viente Reales","Unknown"
"PH137504032","Wawang Pulo","Unknown"
"PH137504033","Canumay East (Canumay)","Unknown"
"PH137601001","Almanza Uno","Unknown"
"PH137601002","Daniel Fajardo","Unknown"
"PH137601003","Elias Aldana","Unknown"
"PH137601004","Ilaya","Unknown"
"PH137601005","Manuyo Uno","Unknown"
"PH137601006","Pamplona Uno","Unknown"
"PH137601007","Pulang Lupa Uno","Unknown"
"PH137601008","Talon Uno","Unknown"
"PH137601009","Zapote","Unknown"
"PH137601010","Almanza Dos","Unknown"
"PH137601011","B. F. International Village","Unknown"
"PH137601012","Manuyo Dos","Unknown"
"PH137601013","Pamplona Dos","Unknown"
"PH137601014","Pamplona Tres","Unknown"
"PH137601015","Pilar","Unknown"
"PH137601016","Pulang Lupa Dos","Unknown"
"PH137601017","Talon Dos","Unknown"
"PH137601018","Talon Tres","Unknown"
"PH137601019","Talon Kuatro","Unknown"
"PH137601020","Talon Singko","Unknown"
"PH137602001","Bangkal","Unknown"
"PH137602002","Bel-Air","Unknown"
"PH137602003","Cembo","Unknown"
"PH137602004","Comembo","Unknown"
"PH137602005","Carmona","Unknown"
"PH137602006","Dasmariñas","Unknown"
"PH137602007","East Rembo","Unknown"
"PH137602008","Forbes Park","Unknown"
"PH137602009","Guadalupe Nuevo","Unknown"
"PH137602010","Guadalupe Viejo","Unknown"
"PH137602011","Kasilawan","Unknown"
"PH137602012","La Paz","Unknown"
"PH137602013","Magallanes","Unknown"
"PH137602014","Olympia","Unknown"
"PH137602015","Palanan","Unknown"
"PH137602016","Pembo","Unknown"
"PH137602017","Pinagkaisahan","Unknown"
"PH137602018","Pio Del Pilar","Unknown"
"PH137602019","Pitogo","Unknown"
"PH137602020","Poblacion","Unknown"
"PH137602021","Post Proper Northside","Unknown"
"PH137602023","San Antonio","Unknown"
"PH137602024","San Isidro","Unknown"
"PH137602025","San Lorenzo","Unknown"
"PH137602026","Santa Cruz","Unknown"
"PH137602027","Singkamas","Unknown"
"PH137602028","South Cembo","Unknown"
"PH137602029","Tejeros","Unknown"
"PH137602030","Urdaneta","Unknown"
"PH137602031","Valenzuela","Unknown"
"PH137602032","West Rembo","Unknown"
"PH137602033","Rizal","Unknown"
"PH137602022","Post Proper Southside","Unknown"
"PH137603001","Alabang","Unknown"
"PH137603002","Bayanan","Unknown"
